"do_grid","loglik","loglik_se","value","parameter"
524,-2578.2872481704,18.2381875891604,0.202,"rho"
526,-3158.98750359054,0.907226963127269,0.214,"rho"
5,-7181.18732661576,7.47465576852814,0.082,"rho"
632,-7478.089914685,6.94229039891183,0.252,"rho"
612,-5560.81329635494,5.44991746892035,0.126,"rho"
625,-2604.46316714077,4.94341804709005,0.208,"rho"
373,-7343.66932323553,3.36035199205999,0.51,"rho"
640,-6978.04132336777,11.3448407196604,0.303,"rho"
607,-5724.89152960441,10.7771553751652,0.095,"rho"
642,-8043.00426768669,8.18960049345184,0.315,"rho"
609,-5933.80039792967,19.3590502093286,0.107,"rho"
366,-6985.44425645172,4.88544457852225,0.466,"rho"
